letter      count proportion 
    a        389       0.08 
    b         94       0.02 
    c          7       0.00 
    d          4       0.00 
    e         38       0.01 
    f        303       0.06 
    g        167       0.03 
    h        125       0.02 
    i        445       0.09 
    j        112       0.02 
    k        415       0.08 
    l         10       0.00 
    m         50       0.01 
    n        152       0.03 
    o        130       0.03 
    p         85       0.02 
    q        233       0.05 
    r         79       0.02 
    s        233       0.05 
    t         82       0.02 
    u          5       0.00 
    v        179       0.04 
    w        360       0.07 
    x        324       0.06 
    y        373       0.07 
    z        684       0.13 
Total characters scanned: 5078
