letter      count      proportion 
    a        535       0.08 
    b        108       0.02 
    c        176       0.03 
    d        244       0.04 
    e        866       0.13 
    f        218       0.03 
    g        169       0.02 
    h        361       0.05 
    i        530       0.08 
    j         20       0.00 
    k         51       0.01 
    l        329       0.05 
    m        185       0.03 
    n        464       0.07 
    o        581       0.08 
    p         96       0.01 
    q          6       0.00 
    r        407       0.06 
    s        404       0.06 
    t        652       0.09 
    u        173       0.02 
    v         77       0.01 
    w        150       0.02 
    x          5       0.00 
    y        112       0.02 
    z          5       0.00 
Total characters scanned: 6924
