letter      count      proportion 
    a         14       0.10 
    b          0       0.00 
    c          0       0.00 
    d          0       0.00 
    e          0       0.00 
    f          7       0.05 
    g          3       0.02 
    h          3       0.02 
    i         16       0.12 
    j          0       0.00 
    k         11       0.08 
    l          0       0.00 
    m          2       0.01 
    n          5       0.04 
    o          5       0.04 
    p          2       0.01 
    q         10       0.07 
    r          1       0.01 
    s          6       0.04 
    t          4       0.03 
    u          0       0.00 
    v          5       0.04 
    w         11       0.08 
    x          5       0.04 
    y         12       0.09 
    z         15       0.11 
Total characters scanned: 137
